datetime,precipitacao
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.4
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,34.199999999999996
2022-10-16,0.0
2022-10-17,36.6
2022-10-18,1.2
2022-10-19,0.2
2022-10-20,1.8
2022-10-21,0.0
2022-10-22,8.2
2022-10-23,0.0
2022-10-24,1.2
2022-10-25,36.4
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,2.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,2.4
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,12.8
2022-11-13,15.399999999999999
2022-11-14,0.0
2022-11-15,1.2000000000000002
2022-11-16,0.2
2022-11-17,0.6000000000000001
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,2.2
2022-11-24,16.6
2022-11-25,13.8
2022-11-26,16.4
2022-11-27,0.0
2022-11-28,12.2
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,107.8
2022-12-02,2.0
2022-12-03,0.2
2022-12-04,0.0
2022-12-05,1.2
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,3.8
2022-12-09,2.6
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.0
2022-12-13,67.60000000000001
2022-12-14,0.0
2022-12-15,0.2
2022-12-16,23.8
2022-12-17,17.0
2022-12-18,0.4
2022-12-19,6.0
2022-12-20,1.5999999999999999
2022-12-21,48.4
2022-12-22,21.4
2022-12-23,1.4
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,38.6
2022-12-27,19.6
2022-12-28,3.4000000000000004
2022-12-29,3.0
2022-12-30,1.2
2022-12-31,6.8
2023-01-01,0.8
2023-01-02,1.2
2023-01-03,12.4
2023-01-04,0.0
2023-01-05,2.0
2023-01-06,21.4
2023-01-07,0.0
2023-01-08,1.2
2023-01-09,13.8
2023-01-10,7.0
2023-01-11,0.0
2023-01-12,2.6
2023-01-13,33.6
2023-01-14,5.2
2023-01-15,0.0
2023-01-16,34.800000000000004
2023-01-17,10.799999999999999
2023-01-18,3.8000000000000003
2023-01-19,0.0
2023-01-20,9.8
2023-01-21,0.0
2023-01-22,5.0
2023-01-23,4.8
2023-01-24,26.6
2023-01-25,38.8
2023-01-26,0.4
2023-01-27,13.6
2023-01-28,5.800000000000001
2023-01-29,0.0
2023-01-30,15.600000000000001
2023-01-31,0.2
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,1.2
2023-02-04,28.4
2023-02-05,13.2
2023-02-06,3.1999999999999997
2023-02-07,6.2
2023-02-08,6.2
2023-02-09,12.8
2023-02-10,2.0
2023-02-11,21.8
2023-02-12,43.2
2023-02-13,18.4
2023-02-14,5.2
2023-02-15,15.6
2023-02-16,58.6
2023-02-17,0.0
2023-02-18,8.8
2023-02-19,18.2
2023-02-20,39.0
2023-02-21,3.2
2023-02-22,0.6
2023-02-23,0.0
2023-02-24,2.6
2023-02-25,43.4
2023-02-26,0.6
2023-02-27,0.4
2023-02-28,0.8
2023-03-01,0.0
2023-03-02,15.600000000000001
2023-03-03,0.6000000000000001
2023-03-04,8.2
2023-03-05,13.0
2023-03-06,0.6
2023-03-07,32.0
2023-03-08,24.4
2023-03-09,14.4
2023-03-10,10.6
2023-03-11,16.8
2023-03-12,69.8
2023-03-13,0.0
2023-03-14,33.6
2023-03-15,0.6
2023-03-16,0.2
2023-03-17,45.6
2023-03-18,0.0
2023-03-19,29.400000000000002
2023-03-20,0.4
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.2
2023-03-25,49.6
2023-03-26,16.0
2023-03-27,0.0
2023-03-28,23.2
2023-03-29,0.8
2023-03-30,5.6000000000000005
2023-03-31,0.0
2023-04-01,31.0
2023-04-02,23.8
2023-04-03,0.0
2023-04-04,24.2
2023-04-05,48.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,7.800000000000001
2023-04-09,0.4
2023-04-10,7.199999999999999
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,33.8
2023-04-14,0.0
2023-04-15,4.2
2023-04-16,3.5999999999999996
2023-04-17,28.6
2023-04-18,3.8
2023-04-19,0.0
2023-04-20,4.6
2023-04-21,5.6000000000000005
2023-04-22,37.199999999999996
2023-04-23,0.8
2023-04-24,0.0
2023-04-25,5.4
2023-04-26,3.8
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,14.2
2023-05-02,6.6
2023-05-03,0.6000000000000001
2023-05-04,6.4
2023-05-05,2.0
2023-05-06,25.4
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,6.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.4
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,1.0
2023-05-16,26.8
2023-05-17,25.4
2023-05-18,3.8
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,11.4
2023-05-24,0.0
2023-05-25,3.4
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.7999999999999999
2023-05-30,0.4
2023-05-31,0.4
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,14.4
2023-06-04,3.5999999999999996
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.2
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.4
2023-06-15,2.4000000000000004
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,27.2
2023-06-19,0.2
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,32.2
2023-07-03,3.6
2023-07-04,9.6
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,1.4
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,14.6
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,8.4
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,17.2
2023-08-03,0.8
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
